name_abbrv,year,month,F,M
ATW,2020,4,63.6,36.4
ATW,2021,1,63.6,36.4
BEI,2021,2,71.39999999999999,28.599999999999998
BH,2020,9,57.9,42.1
BH,2021,2,55.60000000000001,44.4
DRUB,2019,12,45.0,55.00000000000001
DRUB,2020,10,50.0,50.0
DRUB,2021,3,50.0,50.0
EHEA,2019,8,56.2,43.8
EHEA,2020,4,55.60000000000001,44.4
EHEA,2021,2,58.8,41.199999999999996
HHSCEX,2019,2,41.699999999999996,58.3
HYPR,2020,12,50.0,50.0
IDDS,2019,8,71.39999999999999,28.599999999999998
IDDS,2021,2,87.5,12.5
LTCF,2020,9,50.0,50.0
MEDCARE,2018,5,50.0,50.0
MHSAD,2019,7,64.3,35.699999999999996
NURPY,2020,7,61.5,38.5
PALCAR,2021,3,47.099999999999994,52.900000000000006
PCCF,2020,1,77.8,22.2
SMCAD,2019,6,53.300000000000004,46.7
SMCAD,2019,9,53.300000000000004,46.7
SMCAD,2020,10,52.2,47.8
SMCAD,2020,11,52.2,47.8
SNAPIS,2020,4,85.7,14.299999999999999
STARK,2019,7,70.6,29.4
STARK,2019,12,76.5,23.5
STARK,2021,1,64.7,35.3
STARPLS,2021,2,76.2,23.799999999999997
TXBI,2019,6,46.2,53.800000000000004
TXBI,2020,5,40.0,60.0
TXCON,2019,11,61.1,38.9
TXHIV,2019,7,50.0,50.0
TXMDIS,2020,11,33.300000000000004,66.7
VPYQYI,2020,2,46.7,53.300000000000004
YC,2020,2,22.2,77.8
All,,,58.3,41.699999999999996
